pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
141.31,-66.200001,90.0,top,R31,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10k,smt
140.804999,-111.222,90.0,bottom,R32,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10k,smt
153.1,-85.1,0.0,top,R33,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
153.1,-87.5,0.0,top,R34,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
153.1,-91.31,0.0,bottom,R35,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
141.16,-122.29,180.0,top,R4,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1k,smt
158.37,-119.88,0.0,top,R5,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,7.5k,smt
153.1025,-93.6,0.0,bottom,R53,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
158.38,-122.6,180.0,top,R6,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1k,smt
153.1,-95.8,180.0,bottom,R63,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
153.0975,-98.1,180.0,bottom,R64,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
153.1,-101.07,180.0,top,R65,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
153.1,-99.08,180.0,top,R66,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
153.1,-97.09,180.0,top,R67,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
153.1,-95.1,180.0,top,R68,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
106.1,-89.812501,0.0,bottom,R69,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
106.1,-91.802501,0.0,bottom,R70,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
106.1,-93.792501,0.0,bottom,R71,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
